uni_number,state,park,parkcode2,category,address,zipcode,phone,parkCode,acres
255,michigan,Keweenaw,kewe,National Historical Park,"Calumet, MI",49913,(906) 337-3168,KEWE,1450007
256,michigan,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906,NOCO,2596439
257,michigan,Pictured Rocks,piro,National Lakeshore,"Munising, MI",49862,(906) 387-3700,PIRO,2613049
258,michigan,River Raisin,rira,National Battlefield Park,"Monroe, MI",48162,734 243 7136,RIRA,2090897
259,michigan,Sleeping Bear Dunes,slbe,National Lakeshore,"Empire, MI",49630,(231) 326-4700,SLBE,1526173
260,minnesota,Grand Portage,grpo,National Monument,"Grand Portage, MN",55605,(218) 475-0123,GRPO,2877861
261,minnesota,Mississippi,miss,National River and Recreation Area,"Saint Paul, MN",55101,(651) 293-0200,MISS,1861731
262,minnesota,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906,NOCO,1517215
263,minnesota,Pipestone,pipe,National Monument,"Pipestone, MN",56164,(507) 825-5464,PIPE,1025070
264,minnesota,Saint Croix,sacn,National Scenic Riverway,"St. Croix Falls, WI",54024,(715) 483-2274,SACN,100096
265,minnesota,Voyageurs,voya,National Park,"International Falls, MN",56649,(218)-283-6600,VOYA,935979
266,mississippi,Brices Cross Roads,brcr,National Battlefield Site,"Tupelo, MS",38804,18003057417,BRCR,600640
267,mississippi,Gulf Islands,guis,National Seashore,"Gulf Breeze, FL",32563,(850) 934-2600,GUIS,1179183
268,mississippi,Medgar and Myrlie Evers Home,memy,National Monument,"Atlanta, GA",30303,601-345-7211,MEMY,612097
269,mississippi,Natchez,natc,National Historical Park,"Natchez, MS",39120,(601) 446-5790,NATC,1116283
270,mississippi,Natchez Trace,natr,Parkway,"Tupelo, MS",38804,(800) 305-7417,NATR,649746
271,mississippi,Natchez Trace,natt,National Scenic Trail,"Tupelo, MS",38804,18003057417,NATT,2112382
272,mississippi,Shiloh,shil,National Military Park,"Shiloh, TN",38376,(731) 689-5696,SHIL,2271157
273,mississippi,Tupelo,tupe,National Battlefield,"Tupelo, MS",38804,18003057417,TUPE,1276179
274,mississippi,Vicksburg,vick,National Military Park,"Vicksburg, MS",39183,(601) 636-0583,VICK,1168737
275,missouri,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,CALI,2262508
276,missouri,Gateway Arch,jeff,National Park,"St. Louis, MO",63102,(314) 655-1600,JEFF,2424935
277,missouri,George Washington Carver,gwca,National Monument,"Diamond, MO",64840,417.325.4151,GWCA,443086
278,missouri,Harry S Truman,hstr,National Historic Site,"Independence, MO",64050,(816) 254-2720,HSTR,2159272
279,missouri,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,2694771
280,missouri,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,OREG,1239447
281,missouri,Ozark,ozar,National Scenic Riverways,"Van Buren, MO",63965,(573) 323-4236,OZAR,2935841
282,missouri,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,POEX,1281166
283,missouri,Santa Fe,safe,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,SAFE,935516
284,missouri,Ste. Geneviève,stge,National Historical Park,"Ste. Genevieve, MO",63670,573-880-7189,STGE,2726625
285,missouri,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,TRTE,2806080
286,missouri,Ulysses S Grant,ulsg,National Historic Site,"St. Louis, MO",63123,(314) 842-1867,ULSG,2812542
287,missouri,Wilson's Creek,wicr,National Battlefield,"Republic, MO",65738,(417) 732-2662,WICR,1740353
288,montana,Big Hole,biho,National Battlefield,"Wisdom, MT",59761,(406) 689-3155,BIHO,1832776
289,montana,Bighorn Canyon,bica,National Recreation Area,"Lovell, WY",82431,(307) 548-5406,BICA,540914
290,montana,Fort Union Trading Post,fous,National Historic Site,"Williston, ND",58801,(701) 572-9083,FOUS,2982915
291,montana,Glacier,glac,National Park,"West Glacier, MT",59936,(406) 888-7800,GLAC,2634074
292,montana,Grant-Kohrs Ranch,grko,National Historic Site,"Deer Lodge, MT",59722,(406) 846-2070,GRKO,2383580
293,montana,Ice Age Floods,iafl,National Geologic Trail,"Coulee Dam, WA",99116,(509) 237-9722,IAFL,1934840
294,montana,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,437002
295,montana,Little Bighorn Battlefield,libi,National Monument,"Crow Agency, MT",59022-0039,(406) 638-3216,LIBI,1238981
296,montana,Nez Perce,nepe,National Historical Park,"Lapwai, ID",83540-9715,(208) 843-7001,NEPE,1708501
297,montana,Yellowstone,yell,National Park,"Yellowstone National Park, WY",82190-0168,307-344-7381,YELL,663440
298,nebraska,Agate Fossil Beds,agfo,National Monument,"Harrison, NE",69346,(308) 665-4113,AGFO,1002554
299,nebraska,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,CALI,1657198
300,nebraska,Homestead,home,National Historical Park,"Beatrice, NE",68310,(402) 223-3514,HOME,1564062
301,nebraska,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,1410461
302,nebraska,Missouri,mnrr,National Recreational River,"Yankton, SD",57078,605-665-0209,MNRR,671093
303,nebraska,Mormon Pioneer,mopi,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,MOPI,2008727
304,nebraska,Niobrara,niob,National Scenic River,"Valentine, NE",69201,(402) 376-1901,NIOB,2940032
305,nebraska,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,OREG,1263277
306,nebraska,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,POEX,2658874
307,nebraska,Scotts Bluff,scbl,National Monument,"Gering, NE",69341,(308) 436-9700,SCBL,270478
308,nevada,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,CALI,2521237
309,nevada,Death Valley,deva,National Park,"Santa Fe, NM",87505,(760) 786-3200,DEVA,2140447
310,nevada,Great Basin,grba,National Park,"Baker, NV",89311,775-234-7331,GRBA,1258186
311,nevada,Lake Mead,lake,National Recreation Area,"Boulder City, NV",89005,(702) 293-8990,LAKE,863595
312,nevada,Old Spanish,olsp,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,OLSP,326260
313,nevada,Pony Express,poex,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,POEX,864902
314,nevada,Tule Springs Fossil Beds,tusk,National Monument,"Boulder City, NV",89005,(702) 293-8853,TUSK,2457874
315,new hampshire,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278,APPA,2228198
316,new hampshire,Saint-Gaudens,saga,National Historical Park,"Cornish, NH",3745,603-675-2175,SAGA,554770
317,new jersey,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278,APPA,1306827
318,new jersey,Delaware Water Gap,dewa,National Recreation Area,"Bushkill, PA",18324,(570) 426-2452,DEWA,506747
319,new jersey,Ellis Island,elis,Part of Statue of Liberty National Monument,"Jersey City, NJ",7305,(212) 363-3200,ELIS,1855428
320,new jersey,Gateway,gate,National Recreation Area,"Staten Island, NY",10305,(718) 354-4606,GATE,2914949
321,new jersey,Great Egg Harbor River,greg,,"Philadelphia, PA",19106,(215) 597-5823,GREG,408769
322,new jersey,Lower Delaware,lode,National Wild and Scenic River,"Philadelphia, PA",19106,215-597-6482,LODE,1772877
323,new jersey,Morristown,morr,National Historical Park,"Morristown, NJ",7052,(973) 539-2016,MORR,779320
324,new jersey,New Jersey Pinelands,pine,National Reserve,"New Lisbon, NJ",8064,(609) 894-7300,PINE,2705397
325,new jersey,Paterson Great Falls,pagr,National Historical Park,"Paterson, NJ",7501,(973) 523-0370,PAGR,286418
326,new jersey,Thomas Edison,edis,National Historical Park,"West Orange, NJ",7052,973-736-0550,EDIS,2497981
327,new jersey,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006,WARO,1889830
328,new mexico,Aztec Ruins,azru,National Monument,"Aztec, NM",87410,(505) 334-6174,AZRU,1194318
329,new mexico,Bandelier,band,National Monument,"Los Alamos, NM",87544,(505) 672-3861,BAND,84202
330,new mexico,Capulin Volcano,cavo,National Monument,"Des Moines, NM",88418,(575) 278-2201,CAVO,2332142
331,new mexico,Carlsbad Caverns,cave,National Park,"Carlsbad, NM",88220,(575) 785-2232,CAVE,2394448
332,new mexico,Chaco Culture,chcu,National Historical Park,"Nageezi, NM",87037,(505) 786-7014,CHCU,1780060
333,new mexico,El Camino Real de Tierra Adentro,elca,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,ELCA,712243
334,new mexico,El Malpais,elma,National Monument,"Grants, NM",87020,(505) 876-2783,ELMA,220885
335,new mexico,El Morro,elmo,National Monument,"Ramah, NM",87321,(505) 783-4226,ELMO,170004
336,new mexico,Fort Union,foun,National Monument,"Watrous, NM",87753,(505) 425-8025,FOUN,1524206
337,new mexico,Gila Cliff Dwellings,gicl,National Monument,"Mimbres, NM",88049,(575) 536-9461,GICL,1610478
338,new mexico,Manhattan Project,mapr,National Historical Park,"Denver, CO",80225-0287,(505) 661-6277,MAPR,276553
339,new mexico,Old Spanish,olsp,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,OLSP,349636
340,new mexico,Pecos,peco,National Historical Park,"Pecos, NM",87552,(505) 757-7241,PECO,2017394
341,new mexico,Petroglyph,petr,National Monument,"Albuquerque, NM",87120,(505) 899-0205,PETR,1800480
342,new mexico,Salinas Pueblo Missions,sapu,National Monument,"Mountainair, NM",87036-0517,(505) 847-2585,SAPU,2507614
343,new mexico,Santa Fe,safe,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,SAFE,1119585
344,new mexico,Valles Caldera,vall,National Preserve,"Jemez Springs, NM",87025,(575) 829-4100,VALL,930442
345,new mexico,White Sands,whsa,National Park,"Holloman AFB, NM",88330,(575) 479-6124,WHSA,1424378
346,new york,African Burial Ground,afbg,National Monument,"New York, NY",10005,(212) 238-4367,AFBG,824178
347,new york,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278,APPA,2247490
348,new york,Captain John Smith Chesapeake,cajo,National Historic Trail,"Yorktown, VA",23690,(757) 898-3400,CAJO,1717743
349,new york,Castle Clinton,cacl,National Monument,"New York, NY",10005,(212) 344-7220,CACL,328834
350,new york,Chesapeake Bay,cbpo,,"Annapolis, MD",21403,(410) 260-2470,CBPO,1048999
351,new york,Eleanor Roosevelt,elro,National Historic Site,"Hyde Park, NY",12538,(845) 229-9422,ELRO,2209037
352,new york,Ellis Island,elis,Part of Statue of Liberty National Monument,"Jersey City, NJ",7305,(212) 363-3200,ELIS,1933087
353,new york,Federal Hall,feha,National Memorial,"New York, NY",10005,(212) 825-6990,FEHA,576983
354,new york,Fire Island,fiis,National Seashore,"Patchogue, NY",11772,631-687-4750,FIIS,1246844
355,new york,Fort Stanwix,fost,National Monument,"Rome, NY",13440,315-338-7730,FOST,956202
356,new york,Gateway,gate,National Recreation Area,"Staten Island, NY",10305,(718) 354-4606,GATE,2105274
357,new york,General Grant,gegr,National Memorial,"New York, NY",10027,(646) 670-7251,GEGR,1142295
358,new york,Governors Island,gois,National Monument,"New York, NY",10004-1921,(212) 825-3054,GOIS,844505
359,new york,Hamilton Grange,hagr,National Memorial,"New York, NY",10031,(646) 548-2310,HAGR,1693693
360,new york,Harriet Tubman,hart,National Historical Park,"Auburn, NY",13021-0769,315-882-8060,HART,294931
361,new york,Home Of Franklin D Roosevelt,hofr,National Historic Site,"Hyde Park, NY",12538,(845) 229-5320,HOFR,816661
362,new york,Lower East Side Tenement Museum,loea,National Historic Site,"New York, NY",10002,(877) 975-3786,LOEA,257244
363,new york,Martin Van Buren,mava,National Historic Site,"Kinderhook, NY",12106-3605,(518) 758-9689,MAVA,2469994
364,new york,National Parks of New York Harbor,npnh,,"New York, NY",10007,(212) 668-5180,NPNH,535943
365,new york,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906,NOCO,2898843
366,new york,Sagamore Hill,sahi,National Historic Site,"Oyster Bay, NY",11771,(516) 922-4788,SAHI,1275500
367,new york,Saint Paul's Church,sapa,National Historic Site,"Mount Vernon, NY",10550,(914) 667-4116,SAPA,1447359
368,new york,Saratoga,sara,National Historical Park,"Stillwater, NY",12170,(518) 670-2985,SARA,1419010
369,new york,Statue Of Liberty,stli,National Monument,"New York, NY",10004,(212) 363-3200,STLI,1745957
370,new york,Stonewall,ston,National Monument,"New York, NY",10005,212-668-2577,STON,292284
371,new york,Theodore Roosevelt Birthplace,thrb,National Historic Site,"New York, NY",10003,(212) 260-1616,THRB,607908
372,new york,Theodore Roosevelt Inaugural,thri,National Historic Site,"Buffalo, NY",14202,(716) 884-0095,THRI,950942
373,new york,Thomas Cole,thco,National Historic Site,"Catskill, NY",12414,518.943.7465,THCO,1130323
374,new york,Upper Delaware,upde,Scenic & Recreational River,"Beach Lake, PA",18405,(570) 685-4871,UPDE,715323
375,new york,Vanderbilt Mansion,vama,National Historic Site,"Hyde Park, NY",12538,(845) 229-7770,VAMA,469500
376,new york,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006,WARO,1951776
377,new york,Women's Rights,wori,National Historical Park,"Seneca Falls, NY",13148,(315) 568-0024,WORI,995009
378,north carolina,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278,APPA,2853920
379,north carolina,Blue Ridge,blri,Parkway,"Asheville, NC",28803,(828) 348-3400,BLRI,2017079
380,north carolina,Cape Hatteras,caha,National Seashore,"Manteo, NC",27954,(252) 473-2111,CAHA,2806233
381,north carolina,Cape Lookout,calo,National Seashore,"Harkers Island, NC",28531,(252) 728-2250,CALO,320926
382,north carolina,Carl Sandburg Home,carl,National Historic Site,"Flat Rock, NC",28731,(828) 693-4178,CARL,2777267
383,north carolina,Fort Raleigh,fora,National Historic Site,"Manteo, NC",27954,(252) 473-2111,FORA,619477
384,north carolina,Great Smoky Mountains,grsm,National Park,"Gatlinburg, TN",37738,(865) 436-1200,GRSM,2177432
385,north carolina,Guilford Courthouse,guco,National Military Park,"Greensboro, NC",27410,(336) 288-1776,GUCO,1754534
386,north carolina,Moores Creek,mocr,National Battlefield,"Currie, NC",28435,(910) 283-5591,MOCR,433039
387,north carolina,Overmountain Victory,ovvi,National Historic Trail,"Gaffney, SC",29341,(864) 461-2828,OVVI,880192
388,north carolina,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,TRTE,2939647
389,north carolina,Wright Brothers,wrbr,National Memorial,"Manteo, NC",27954,(252) 473-2111,WRBR,2896378
390,north dakota,Fort Union Trading Post,fous,National Historic Site,"Williston, ND",58801,(701) 572-9083,FOUS,809884
391,north dakota,Knife River Indian Villages,knri,National Historic Site,"Stanton, ND",58571,(701) 745-3300,KNRI,2468985
392,north dakota,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,2349588
393,north dakota,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906,NOCO,2008792
394,north dakota,Theodore Roosevelt,thro,National Park,"Medora, ND",58645,(701) 623-4466,THRO,1145382
395,northern mariana islands,American Memorial,amme,Park,"Saipan, MP",96950,(670) 234-7207,AMME,2331709
396,ohio,Charles Young Buffalo Soldiers,chyo,National Monument,"Wilberforce, OH",45384,(937) 352-6757,CHYO,462336
397,ohio,Cuyahoga Valley,cuva,National Park,"Brecksville, OH",44141,(440) 717-3890,CUVA,2702775
398,ohio,Dayton Aviation Heritage,daav,National Historical Park,"Dayton, OH",45402,(937) 225-7705,DAAV,2121669
399,ohio,First Ladies,fila,National Historic Site,"Canton, OH",44702-2107,(330) 452-0876,FILA,1357623
400,ohio,Hopewell Culture,hocu,National Historical Park,"Chillicothe, OH",45601,(740) 774-1126,HOCU,2891896
401,ohio,James A Garfield,jaga,National Historic Site,"Mentor, OH",44060,(440) 255-8722,JAGA,2362149
402,ohio,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,2505399
403,ohio,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906,NOCO,634017
404,ohio,Perry's Victory & International Peace,pevi,Memorial,"Put-in-Bay, OH",43456,(419) 285-2184,PEVI,310288
405,ohio,William Howard Taft,wiho,National Historic Site,"Cincinnati, OH",45219,(513) 684-3262,WIHO,2686008
406,oklahoma,Chickasaw,chic,National Recreation Area,"Sulphur, OK",73086,(580) 622-7234,CHIC,2730841
407,oklahoma,Fort Smith,fosm,National Historic Site,"Fort Smith, AR",72901,(479) 783-3961,FOSM,1619512
408,oklahoma,Oklahoma City,okci,National Memorial,"Oklahoma City, OK",73102-0676,(405) 609-8859,OKCI,261046
409,oklahoma,Santa Fe,safe,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,SAFE,1282643
410,oklahoma,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,TRTE,1025755
411,oklahoma,Washita Battlefield,waba,National Historic Site,"Cheyenne, OK",73628,(580) 497-2742,WABA,159419
412,oregon,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,CALI,1063897
413,oregon,Crater Lake,crla,National Park,"Crater Lake, OR",97604,(541) 594-3000,CRLA,629954
414,oregon,Fort Vancouver,fova,National Historic Site,"Vancouver, WA",98661,(360) 816-6230,FOVA,2673410
415,oregon,Ice Age Floods,iafl,National Geologic Trail,"Coulee Dam, WA",99116,(509) 237-9722,IAFL,1655392
416,oregon,John Day Fossil Beds,joda,National Monument,"Kimberly, OR",97848,(541) 987-2333,JODA,2141146
417,oregon,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,2200685
418,oregon,Lewis and Clark,lewi,National Historical Park,"Astoria, OR",97103,(503) 861-2471,LEWI,1581117
419,oregon,Nez Perce,nepe,National Historical Park,"Lapwai, ID",83540-9715,(208) 843-7001,NEPE,1301665
420,oregon,Oregon,oreg,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,OREG,1879129
421,oregon,Oregon Caves,orca,National Monument & Preserve,"Cave Junction, OR",97523,(541) 592-2100,ORCA,2376312
422,pennsylvania,Allegheny Portage Railroad,alpo,National Historic Site,"Gallitzin, PA",16641,(814) 886-6150,ALPO,670736
423,pennsylvania,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278,APPA,1417396
424,pennsylvania,Captain John Smith Chesapeake,cajo,National Historic Trail,"Yorktown, VA",23690,(757) 898-3400,CAJO,324207
425,pennsylvania,Chesapeake Bay,cbpo,,"Annapolis, MD",21403,(410) 260-2470,CBPO,297240
426,pennsylvania,Delaware Water Gap,dewa,National Recreation Area,"Bushkill, PA",18324,(570) 426-2452,DEWA,748225
427,pennsylvania,Edgar Allan Poe,edal,National Historic Site,"Philadelphia, PA",19106,215-965-2305,EDAL,204995
428,pennsylvania,Eisenhower,eise,National Historic Site,"Gettysburg, PA",17325,(717) 338-9114,EISE,2786642
429,pennsylvania,First State,frst,National Historical Park,"New Castle, DE",19720,(302) 544-6363,FRST,2275904
430,pennsylvania,Flight 93,flni,National Memorial,"Shanksville, PA",15560,(814) 893-6322,FLNI,1542895
431,pennsylvania,Fort Necessity,fone,National Battlefield,"Farmington, PA",15437,(724) 329-5512,FONE,2078062
432,pennsylvania,Friendship Hill,frhi,National Historic Site,"Farmington, PA",15437,(724) 329-2501,FRHI,2809246
433,pennsylvania,Gettysburg,gett,National Military Park,"Gettysburg, PA",17325,(717) 334-1124,GETT,2542173
434,pennsylvania,Gloria Dei Church,glde,National Historic Site,"Philadelphia, PA",19106,215-389-1513,GLDE,2534171
435,pennsylvania,Hopewell Furnace,hofu,National Historic Site,"Elverson, PA",19520,(610) 582-8773,HOFU,1728857
436,pennsylvania,Independence,inde,National Historical Park,"Philadelphia, PA",19106,215-965-2305,INDE,400087
437,pennsylvania,Johnstown Flood,jofl,National Memorial,"South Fork, PA",15956,(814) 886-6171,JOFL,516390
438,pennsylvania,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,2498692
439,pennsylvania,Lower Delaware,lode,National Wild and Scenic River,"Philadelphia, PA",19106,215-597-6482,LODE,2310421
440,pennsylvania,North Country,noco,National Scenic Trail,"Lowell, MI",49331,(616) 319-7906,NOCO,1470546
441,pennsylvania,Potomac Heritage,pohe,National Scenic Trail,"Washington, DC",20242,202-619-7154,POHE,2784414
442,pennsylvania,Steamtown,stea,National Historic Site,"Scranton, PA",18503-2018,570-340-5200,STEA,553298
443,pennsylvania,Thaddeus Kosciuszko,thko,National Memorial,"Philadelphia, PA",19106,(215) 965-2305,THKO,1496478
444,pennsylvania,Upper Delaware,upde,Scenic & Recreational River,"Beach Lake, PA",18405,(570) 685-4871,UPDE,2958223
445,pennsylvania,Valley Forge,vafo,National Historical Park,"King of Prussia, PA",19406,(610) 783-1000,VAFO,1878719
446,pennsylvania,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006,WARO,2491714
447,puerto rico,San Juan,saju,National Historic Site,"San Juan, PR",901,(787) 729-6777,SAJU,1536202
448,rhode island,Blackstone River Valley,blrv,National Historical Park,"Providence, RI",2903,401-521-7266,BLRV,274851
449,rhode island,Roger Williams,rowi,National Memorial,"Providence, RI",2903,401-521-7266,ROWI,2030619
450,rhode island,Touro Synagogue,tosy,National Historic Site,"Newport, RI",2840,(401) 847-4794,TOSY,1624083
451,rhode island,Washington-Rochambeau Revolutionary Route,waro,National Historic Trail,"King of Prussia, PA",19406,610-783-1006,WARO,2217683
452,south carolina,Charles Pinckney,chpi,National Historic Site,"Sullivan's Island, SC",29482,(843) 881-5516,CHPI,927706
453,south carolina,Congaree,cong,National Park,"Hopkins, SC",29061,(803) 776-4396,CONG,1807287
454,south carolina,Cowpens,cowp,National Battlefield,"Gaffney, SC",29341,(864) 461-2828,COWP,788476
455,south carolina,Fort Sumter and Fort Moultrie,fosu,National Historical Park,"Sullivan's Island, SC",29482,(843) 883-3123,FOSU,478949
456,south carolina,Kings Mountain,kimo,National Military Park,"Blacksburg, SC",29702,(864) 936-7921,KIMO,249130
457,south carolina,Ninety Six,nisi,National Historic Site,"Ninety Six, SC",29666,(864) 543-4068,NISI,417874
458,south carolina,Overmountain Victory,ovvi,National Historic Trail,"Gaffney, SC",29341,(864) 461-2828,OVVI,712748
459,south carolina,Reconstruction Era,reer,National Historical Park,"Beaufort, SC",29902,(843) 962-0039,REER,2747728
460,south dakota,Badlands,badl,National Park,"Interior, SD",57750,(605) 433-5361,BADL,2091353
461,south dakota,Jewel Cave,jeca,National Monument,"Custer, SD",57730,(605) 673-8300,JECA,1144870
462,south dakota,Lewis & Clark,lecl,National Historic Trail,"Omaha, NE",68102,(402) 661-1804,LECL,2375819
463,south dakota,Minuteman Missile,mimi,National Historic Site,"Philip, SD",57567,(605) 433-5552,MIMI,2626327
464,south dakota,Missouri,mnrr,National Recreational River,"Yankton, SD",57078,605-665-0209,MNRR,1898249
465,south dakota,Mount Rushmore,moru,National Memorial,"Keystone, SD",57751,(605) 574-2523,MORU,2837866
466,south dakota,Wind Cave,wica,National Park,"Hot Springs, SD",57747,(605) 745-4600,WICA,2515422
467,tennessee,Andrew Johnson,anjo,National Historic Site,"Greeneville, TN",37743,(423) 638-3551,ANJO,1787784
468,tennessee,Appalachian,appa,National Scenic Trail,"Harpers Ferry, WV",25425,(304) 535-6278,APPA,239700
469,tennessee,Big South Fork,biso,National River & Recreation Area,"Oneida, TN",37841,(423) 569-9778,BISO,417936
470,tennessee,Chickamauga & Chattanooga,chch,National Military Park,"Fort Oglethorpe, GA",30742,706-866-9241,CHCH,711748
471,tennessee,Cumberland Gap,cuga,National Historical Park,"Middlesboro, KY",40965,(606) 248-2817,CUGA,756529
472,tennessee,Fort Donelson,fodo,National Battlefield,"Dover, TN",37058,931-232-5706,FODO,1285896
473,tennessee,Great Smoky Mountains,grsm,National Park,"Gatlinburg, TN",37738,(865) 436-1200,GRSM,482623
474,tennessee,Manhattan Project,mapr,National Historical Park,"Denver, CO",80225-0287,(505) 661-6277,MAPR,2951832
475,tennessee,Natchez Trace,natr,Parkway,"Tupelo, MS",38804,(800) 305-7417,NATR,374031
476,tennessee,Natchez Trace,natt,National Scenic Trail,"Tupelo, MS",38804,18003057417,NATT,2241189
477,tennessee,Obed,obed,Wild & Scenic River,"Wartburg, TN",37887,(423) 346-6294,OBED,210065
478,tennessee,Overmountain Victory,ovvi,National Historic Trail,"Gaffney, SC",29341,(864) 461-2828,OVVI,921710
479,tennessee,Shiloh,shil,National Military Park,"Shiloh, TN",38376,(731) 689-5696,SHIL,106782
480,tennessee,Stones River,stri,National Battlefield,"Murfreesboro, TN",37129,615-893-9501,STRI,241018
481,tennessee,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,TRTE,1065058
482,texas,Alibates Flint Quarries,alfl,National Monument,"Fritch, TX",79036,(806) 857-6680,ALFL,1463246
483,texas,Amistad,amis,National Recreation Area,"Del Rio, TX",78840,(830)775-7491,AMIS,1502405
484,texas,Big Bend,bibe,National Park,"Big Bend National Park, TX",79834-0129,432-477-2251,BIBE,1367781
485,texas,Big Thicket,bith,National Preserve,"Kountze, TX",77625,409-951-6700,BITH,762592
486,texas,Chamizal,cham,National Memorial,"El Paso, TX",79905,915-532-7273,CHAM,2015019
487,texas,El Camino Real de los Tejas,elte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,ELTE,1452106
488,texas,El Camino Real de Tierra Adentro,elca,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,ELCA,2347891
489,texas,Fort Davis,foda,National Historic Site,"Fort Davis, TX",79734,(432) 426-3224,FODA,2519057
490,texas,Guadalupe Mountains,gumo,National Park,"Salt Flat, TX",79847,915-828-3251,GUMO,651207
491,texas,Lake Meredith,lamr,National Recreation Area,"Fritch, TX",79036,(806) 857-3151,LAMR,1579863
492,texas,Lyndon B Johnson,lyjo,National Historical Park,"Johnson City, TX",78636,(830) 868-7128,LYJO,2710755
493,texas,Padre Island,pais,National Seashore,"Corpus Christi, TX",78480,(361) 949-8068,PAIS,1853219
494,texas,Palo Alto Battlefield,paal,National Historical Park,"Brownsville, TX",78520,(956) 541-2785,PAAL,2874439
495,texas,Rio Grande,rigr,Wild & Scenic River,"Big Bend National Park, TX",79834,(432) 477-2251,RIGR,2691696
496,texas,San Antonio Missions,saan,National Historical Park,"San Antonio, TX",78210,(210) 932-1001,SAAN,2486276
497,texas,Waco Mammoth,waco,National Monument,"Waco, TX",76708,(254) 750-7946,WACO,2087341
498,utah,Arches,arch,National Park,"Moab, UT",84532,(435) 719-2299,ARCH,806104
499,utah,Bryce Canyon,brca,National Park,"Bryce, UT",84764,(435) 834-5322,BRCA,2481250
500,utah,California,cali,National Historic Trail,"Santa Fe, NM",87505,505-988-6098,CALI,573264
501,utah,Canyonlands,cany,National Park,"Moab, UT",84532,435-719-2313,CANY,2773304
502,utah,Capitol Reef,care,National Park,"Torrey, UT",84775,435-425-3791,CARE,2700540
503,utah,Cedar Breaks,cebr,National Monument,"Cedar City, UT",84720,(435) 986-7120,CEBR,2005016
504,utah,Dinosaur,dino,National Monument,"Dinosaur, CO",81610,(435) 781-7700,DINO,2320606
505,utah,Glen Canyon,glca,National Recreation Area,"Page, AZ",86040,(928) 608-6200,GLCA,999293
506,utah,Golden Spike,gosp,National Historical Park,"Brigham City, UT",84302,(435) 471-2209,GOSP,839758
507,utah,Hovenweep,hove,National Monument,"Cortez, CO",81321,(970) 562-4282,HOVE,227947
